ego,alter,network_level,communication,ecology,education,mapping,operations,air_quality,mechanical_treatments,prescribed_fire,restoration,strength,satisfaction,quality,fire_spread,operational_capacity,relevance
BLM-California Desert Interagency Fire Program,BLM-Bishop Field Office,SEKI - Defined,0,0,0,0,1,0,0,0,0,Coordination,Somewhat satisfied,Extremely good,High,Somewhat confident,Extremely relevant
BLM-California Desert Interagency Fire Program,BLM-Central California District,SEKI - Defined,1,0,1,1,1,0,1,1,1,Coordination,Somewhat satisfied,Extremely good,High,Somewhat confident,Extremely relevant
BLM-California Desert Interagency Fire Program,CAL FIRE-San Bernardino/Inyo/Mono,SEKI - Defined,0,0,0,1,1,0,1,1,0,Collaboration,Extremely satisfied,Extremely good,High,Somewhat confident,Extremely relevant
BLM-California Desert Interagency Fire Program,California Air Resources Board,SEKI - Undefined,0,0,0,0,0,0,0,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
BLM-California Desert Interagency Fire Program,California Forest Management Task Force,SEKI - Undefined,1,0,1,0,0,0,1,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
BLM-California Desert Interagency Fire Program,The Nature Conservancy,SEKI - Undefined,0,0,0,0,0,0,1,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Somewhat relevant
BLM-California Desert Interagency Fire Program,US Geological Survey,SEKI - Undefined,1,0,1,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Somewhat relevant
BLM-California Desert Interagency Fire Program,USDA Natural Resource Conservation Service (NRCS),SEKI - Undefined,0,0,0,0,0,0,1,0,1,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Somewhat relevant
BLM-California Desert Interagency Fire Program,USFS-Inyo National Forest Supervisors Office,SEKI - Undefined,0,0,0,1,1,0,1,1,1,Communication,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
BLM-California Desert Interagency Fire Program,USFS-Inyo National Forest-White Mountain,SEKI - Defined,1,0,1,1,1,0,1,1,1,Communication,Somewhat satisfied,Extremely good,High,Somewhat confident,Extremely relevant
BLM-California Desert Interagency Fire Program,USFS-Region 5 HQ,SEKI - Undefined,0,0,0,1,0,0,1,1,1,Coordination,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
CAL FIRE-San Bernardino/Inyo/Mono,BLM-Bishop Field Office,SEKI - Defined,1,1,1,1,1,0,1,1,0,Collaboration,Extremely satisfied,Somewhat good,High,Completely confident,Extremely relevant
CAL FIRE-San Bernardino/Inyo/Mono,BLM-California Desert Interagency Fire Program,SEKI - Defined,1,1,1,1,1,0,1,1,0,Collaboration,Extremely satisfied,Somewhat good,High,Completely confident,Extremely relevant
CAL FIRE-San Bernardino/Inyo/Mono,California Air Resources Board,SEKI - Undefined,0,0,0,0,0,1,0,1,0,Coordination,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
CAL FIRE-San Bernardino/Inyo/Mono,USFS-Inyo National Forest Supervisors Office,SEKI - Undefined,1,1,1,1,1,0,1,1,0,NA,Extremely satisfied,NA,NA,NA,Somewhat relevant
CAL FIRE-San Bernardino/Inyo/Mono,USFS-Inyo National Forest-Mammoth,SEKI - Defined,1,1,1,1,1,0,1,1,0,Collaboration,Extremely satisfied,Somewhat good,High,Completely confident,Extremely relevant
