"","ego","alter","network_level","communication","ecology","education","mapping","operations","air_quality","mechanical_treatments","prescribed_fire","restoration","strength","satisfaction","quality","fire_spread","operational_capacity","relevance"
"1","Inyo National Forest","BLM-Bishop Field Office","SEKI - Defined",0,1,0,0,1,1,1,1,0,"Collaboration","Somewhat satisfied","Extremely good","High","Completely confident","Extremely relevant"
"2","Inyo National Forest","USFS-Inyo National Forest-Mammoth","SEKI - Defined",0,1,0,0,1,1,1,1,0,"Collaboration","Extremely satisfied","Extremely good","High","Completely confident","Extremely relevant"
"3","Inyo National Forest","USFS-Inyo National Forest-Mt. Whitney","SEKI - Defined",0,1,0,0,1,1,1,1,0,"Collaboration","Extremely satisfied","Extremely good","High","Completely confident","Extremely relevant"
"4","Inyo National Forest","USFS-Inyo National Forest-White Mountain","SEKI - Defined",0,1,0,0,1,1,1,1,0,"Collaboration","Extremely satisfied","Extremely good","High","Completely confident","Extremely relevant"
"5","Inyo National Forest","USFS-Inyo National Forest Supervisors Office","SEKI - Undefined",0,1,0,0,1,1,1,1,0,"Collaboration","Extremely satisfied","Extremely useful",NA,NA,"Extremely relevant"
"6","Inyo National Forest","Western Mono (Native American Indigenous Peoples)","SEKI - Undefined",0,1,0,0,1,1,1,1,0,"Collaboration","Somewhat satisfied","Extremely useful",NA,NA,"Extremely relevant"
"7","Inyo National Forest","Yokut (Native American Indigenous Peoples)","SEKI - Undefined",0,1,0,0,1,1,1,1,0,"Collaboration","Somewhat satisfied","Extremely useful",NA,NA,"Extremely relevant"
"8","BLM CA-CDD","BLM-Bishop Field Office","SEKI - Defined",0,0,0,0,1,0,0,0,0,"Coordination","Somewhat satisfied","Extremely good","High","Somewhat confident","Extremely relevant"
"9","BLM CA-CDD","BLM-California Desert Interagency Fire Program","SEKI - Defined",1,0,1,1,1,0,1,1,1,"Collaboration","Somewhat dissatisfied","Extremely good","High","Slightly confident","Extremely relevant"
"10","BLM CA-CDD","BLM-Central California District","SEKI - Defined",1,0,1,1,1,0,1,1,1,"Coordination","Somewhat satisfied","Extremely good","High","Somewhat confident","Extremely relevant"
"11","BLM CA-CDD","Cal Fire-San Bernardino","SEKI - Defined",0,0,0,1,1,0,1,1,0,"Collaboration","Extremely satisfied","Extremely good","High","Somewhat confident","Extremely relevant"
"12","BLM CA-CDD","USFS-Inyo National Forest-White Mountain","SEKI - Defined",1,0,1,1,1,0,1,1,1,"Communication","Somewhat satisfied","Extremely good","High","Somewhat confident","Extremely relevant"
"13","BLM CA-CDD","California Air Resources Board","SEKI - Undefined",0,0,0,0,0,0,0,1,0,"Collaboration","Somewhat satisfied","Extremely useful",NA,NA,"Extremely relevant"
"14","BLM CA-CDD","California Forest Management Task Force","SEKI - Undefined",1,0,1,0,0,0,1,1,0,"Collaboration","Somewhat satisfied","Extremely useful",NA,NA,"Extremely relevant"
"15","BLM CA-CDD","The Nature Conservancy","SEKI - Undefined",0,0,0,0,0,0,1,1,0,"Collaboration","Somewhat satisfied","Extremely useful",NA,NA,"Somewhat relevant"
"16","BLM CA-CDD","USDA Natural Resource Conservation Service (NRCS)","SEKI - Undefined",0,0,0,0,0,0,1,0,1,"Collaboration","Somewhat satisfied","Extremely useful",NA,NA,"Somewhat relevant"
"17","BLM CA-CDD","USFS-Region 5 HQ","SEKI - Undefined",0,0,0,1,0,0,1,1,1,"Coordination","Somewhat satisfied","Extremely useful",NA,NA,"Extremely relevant"
"18","BLM CA-CDD","USFS-Inyo National Forest Supervisors Office","SEKI - Undefined",0,0,0,1,1,0,1,1,1,"Communication","Somewhat satisfied","Extremely useful",NA,NA,"Extremely relevant"
"19","BLM CA-CDD","US Geological Survey","SEKI - Undefined",1,0,1,0,0,0,1,1,1,"Collaboration","Somewhat satisfied","Extremely useful",NA,NA,"Somewhat relevant"
"20","The Wilderness Society","Cal Fire-Fresno Kings","SEKI - Defined",0,1,0,0,0,0,0,1,0,"Communication","Somewhat satisfied","Not applicable",NA,"Slightly confident",NA
"21","The Wilderness Society","Cal Fire-San Bernardino","SEKI - Defined",0,1,0,0,0,0,0,1,0,"Communication","Somewhat satisfied","Not applicable",NA,"Slightly confident",NA
"22","The Wilderness Society","Cal Fire-Tulare","SEKI - Defined",0,1,0,0,0,0,0,1,0,"Communication","Somewhat satisfied","Not applicable",NA,"Slightly confident",NA
"23","The Wilderness Society","NPS-Kings Canyon","SEKI - Defined",0,1,0,0,0,0,0,1,0,"Communication","Extremely satisfied","Somewhat good","Low","Somewhat confident","Somewhat relevant"
"24","The Wilderness Society","NPS-Sequoia","SEKI - Defined",0,1,0,0,0,0,0,1,0,"Communication","Extremely satisfied","Somewhat good","Low","Somewhat confident","Somewhat relevant"
"25","The Wilderness Society","USFS-Inyo National Forest-Mammoth","SEKI - Defined",0,1,0,0,0,0,1,1,1,"Collaboration","Somewhat satisfied","Somewhat good","High","Slightly confident","Somewhat relevant"
"26","The Wilderness Society","USFS-Inyo National Forest-Mt. Whitney","SEKI - Defined",0,1,0,0,0,0,1,1,1,"Collaboration","Somewhat satisfied","Somewhat good","Moderate","Slightly confident","Somewhat relevant"
"27","The Wilderness Society","USFS-Inyo National Forest-White Mountain","SEKI - Defined",0,1,0,0,0,0,1,1,1,"Collaboration","Somewhat satisfied","Somewhat good","Moderate","Slightly confident","Somewhat relevant"
"28","The Wilderness Society","USFS-Sequoia National Forest-Giant Sequoia National Monument","SEKI - Defined",0,1,0,0,0,0,1,1,1,"Collaboration","Somewhat satisfied","Somewhat good","Moderate","Slightly confident","Somewhat relevant"
"29","The Wilderness Society","USFS-Sequoia National Forest-Hume Lake","SEKI - Defined",0,1,0,0,0,0,1,1,1,"Collaboration","Somewhat satisfied","Somewhat good","Moderate","Slightly confident","Somewhat relevant"
"30","The Wilderness Society","USFS-Sequoia National Forest-Kern River","SEKI - Defined",0,1,0,0,0,0,1,1,1,"Collaboration","Somewhat satisfied","Somewhat good","Moderate","Slightly confident","Somewhat relevant"
